X,Object.ID,Is.Public.Domain,Department,AccessionYear,Object.Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist.Role,Artist.Prefix,Artist.Display.Name,Artist.Display.Bio,Artist.Suffix,Artist.Alpha.Sort,Artist.Nationality,Artist.Begin.Date,Artist.End.Date,Artist.Gender,Object.Date,Object.Begin.Date,Object.End.Date,Medium,Dimensions,Credit.Line,Geography.Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights.and.Reproduction
58166,730708,FALSE,Drawings and Prints,1949,Print,Landscape with an Ill-Assorted Couple,NA,NA,NA,NA,NA,Artist|Artist,After,Johann Sadeler I|Pieter Stevens,"Netherlandish, Brussels 1550–1600/1601 Venice|Netherlandish, Mechelen ca. 1567–after 1624 Prague",NA,"Sadeler, Johann, I|Stevens, Pieter",NA,1550      |1567,1601      |1624,|,1568–1600,1568,1600,Engraving,Sheet: 8 1/2 × 10 3/4 in. (21.6 × 27.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
31900,685231,TRUE,Drawings and Prints,1924,Books Prints Ornament & Architecture,Schön newes Modelbuch (Page 81r),NA,NA,NA,NA,NA,Publisher,NA,Sigismundus Latomus,"German, active 1599–ca. 1627",", Frankfurt am Main","Latomus, Sigismundus",German,1599,1632,NA,1608,1608,1608,Woodcut,Overall: 4 1/2 x 6 11/16 in. (11.5 x 17 cm),"Harris Brisbane Dick Fund, 1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books|Prints|Ornament & Architecture,NA
56656,559364,TRUE,Egyptian Art,1915,"Cone, Davies 558, Nebamun, TT 179, Amun, scribe, Intef, Ahmose",Funerary Cone of the Scribe Nebamun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1479–1458 B.C.,-1479,-1458,Pottery,H. 8.4 cm (3 5/16 in.); W. 8.6 cm (3 3/8 in.); preserved L. 20.5 cm (8 1/16 in.),"Rogers Fund, 1915",From,NA,NA,NA,Egypt,"Upper Egypt, Thebes",NA,NA,NA,NA,NA,NA,NA
78259,410444,TRUE,Drawings and Prints,1963,Print,"Order of the Golden Spur, Holy See, from the World's Decorations series (N30) for Allen & Ginter Cigarettes",NA,NA,NA,NA,NA,Lithographer|Publisher,NA,"Lindner, Eddy & Claus|Allen & Ginter","American, New York|American, Richmond, Virginia",NA,"Lindner, Eddy & Claus|Allen & Ginter",American|American,NA,NA,|,1890,1890,1890,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
76287,553696,TRUE,Egyptian Art,1926,"Amulet, Pataikos",Pataikos Amulet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1070–664 B.C.,-1070,-1070,Faience,H. 8.7 × W. 3.8 × D. 2.6 cm (3 7/16 × 1 1/2 × 1 in.),"Purchase, Edward S. Harkness Gift, 1926",From,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA
83091,651901,FALSE,Drawings and Prints,1963,Photograph,"Nellie Beaumont, from the Actresses series (N245) issued by Kinney Brothers to promote Sweet Caporal Cigarettes",NA,NA,NA,NA,NA,Publisher,Issued by,Kinney Brothers Tobacco Company,NA,NA,Kinney Brothers Tobacco Company,American,1869,2011,NA,1890,1890,1890,Albumen photograph,Sheet: 2 1/2 × 1 7/16 in. (6.4 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs|Ephemera,NA
39557,210170,TRUE,European Sculpture and Decorative Arts,1925,Beaker,Beaker,"German, Augsburg",NA,NA,NA,NA,Maker,NA,Matthäus Baur II,"ca. 1653–1728, master ca. 1681",NA,Baur Matthäus II,NA,1653,1728,NA,early 18th century,1700,1715,"Silver, parcel-gilt",Overall: 3 5/16 × 2 3/4 in. (8.4 × 7 cm),"Bequest of Alfred Duane Pell, 1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metalwork-Silver,NA
91807,224476,TRUE,European Sculpture and Decorative Arts,1936,Piece,Piece,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18th century,1700,1799,Silk and metal thread,"L. 10 x W. 9 1/2 inches
25.4 x 24.1 cm","Gift of The United Piece Dye Works, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Woven,NA
72550,113708,FALSE,Costume Institute,1989,Suspenders,Suspenders,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1989,1989,"elastic, metal",NA,"Gift of E. S. Botwin, 1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14042,492890,FALSE,Modern and Contemporary Art,2002,Sculpture,Small Nude in an Armchair,NA,NA,NA,NA,NA,Artist,NA,Henri Matisse,"French, Le Cateau-Cambrésis 1869–1954 Nice",NA,"Matisse, Henri",French,1869,1954,NA,"1924; this cast, by 1954",1924,1924,Bronze,9 1/4 x 9 1/4 x 5 in. (23.5 x 23.5 x 12.7 cm),"The Pierre and Maria-Gaetana Matisse Collection, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sculpture,"© 2020 Succession H. Matisse / Artists Rights Society (ARS), New York"
52348,354037,TRUE,Drawings and Prints,2002,Drawing,Mars Crowned by Victory and Listening to Moderation,NA,NA,NA,NA,NA,Artist,NA,baron Antoine Jean Gros,"French, Paris 1771–1835 Meudon",NA,"Gros, Antoine Jean, baron",French,1771,1835,NA,n.d.,1780,1835,Black chalk,11 15/16 x 9 1/8 in. (30.3 x 23.2 cm),"Karen B. Cohen Fund, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
55437,48847,TRUE,Asian Art,1926,Tomb figure,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,1279,Pottery (Cizhou ware),H. 12 in. (30.5 cm),"Gift of Mrs. Samuel T. Peters, 1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics,NA
92815,349669,FALSE,Drawings and Prints,1940,Book,Catalogue and Price List. No. 6.,NA,NA,NA,NA,NA,Author|Illustrator,NA,Yale Lock Manufacturing Co.|A. P. Norman,"Stamford, Connecticut|American, active 1870s",NA,"Yale Lock Manufacturing Co.|Norman, A. P.",American|American,1800      |1800,1900      |1900,|,June 1876,1876,1876,NA,NA,"Harris Brisbane Dick Fund, 1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books,NA
2312,324173,TRUE,Ancient Near Eastern Art,1951,Pyxis,Pyxis fragments,Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 8th–7th century B.C.,-800,-600,Ivory,1.88 x 0.24 in. (4.78 x 0.61 cm),"Fletcher Fund, 1951",NA,NA,NA,NA,NA,Iran,NA,NA,NA,NA,NA,Ivory/Bone-Vessels,NA
56677,16071,TRUE,The American Wing,1950,Drawing,"Nile, 1904 (from Sketchbook)",American,NA,NA,NA,NA,Artist,NA,Mary Newbold Sargent,1826–1906,NA,"Sargent, Mary Newbold",NA,1826,1906,NA,1904,1904,1904,Graphite on paper,5 7/8 x 8 5/8 in. (14.9 x 21.9 cm),"Gift of Mrs. Francis Ormond, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
28229,228124,TRUE,European Sculpture and Decorative Arts,1957,Sampler,Embroidered sampler,"Dutch, Marken Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17th century,1600,1699,Linen and silk on linen,19 3/8 × 19 1/4 in. (49.2 × 48.9 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Embroidered,NA
57794,405591,TRUE,Drawings and Prints,1917,Print,Covered Goblet with Shells,NA,NA,NA,NA,NA,Artist,NA,Albrecht Altdorfer,"German, Regensburg ca. 1480–1538 Regensburg",NA,"Altdorfer, Albrecht",German,1480,1538,NA,n.d.,1490,1538,Etching,Sheet: 6 7/8 x 3 13/16 in. (17.5 x 9.7 cm),"Gift of Henry Walters, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
14464,361144,FALSE,Drawings and Prints,1920,Print,Woman of Mainz,NA,NA,NA,NA,NA,Artist,NA,Wenceslaus Hollar,"Bohemian, Prague 1607–1677 London",NA,"Hollar, Wenceslaus",Bohemian,1607,1677,NA,1643,1643,1643,Etching; first state of two,Sheet: 3 11/16 × 2 7/16 in. (9.3 × 6.2 cm) cut c. 2 x 3 mm,"Rogers Fund, 1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
88695,217530,FALSE,European Sculpture and Decorative Arts,1909,Piece,Piece,German,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19th century,1800,1899,Cotton,NA,"Rogers Fund, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Printed,NA
31829,778347,FALSE,Drawings and Prints,2016,"Baseball card, print","Card Number 84, Kent Tekulve, Pittsburgh Pirates",NA,NA,NA,NA,NA,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn",NA,Topps Chewing Gum Company,NA,NA,NA,NA,1978,1978,1978,Commercial Color Lithograph,Sheet: 3 1/2 × 2 1/2 in. (8.9 × 6.4 cm),"Gift of George R. Goldner, in honor of Stewart Goldner, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
1047,69298,TRUE,Asian Art,1942,Stencil,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19th century,1800,1899,"Paper, silk",10 3/4 x 16 in. (27.3 x 40.6 cm),"Gift of Mrs. Horace Havemeyer, 1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stencils,NA
29057,76941,TRUE,Asian Art,1907,Drawing,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,early 19th century,1800,1833,On paper,Image: 19 1/4 × 15 3/8 in. (48.9 × 39.1 cm),"Gift of John Achelis, 1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paintings,NA
22286,270960,FALSE,Photographs,1964,Photograph,"Leopold I, King of Belgium",NA,NA,NA,NA,NA,Artist,NA,Neurdein Frères,"French, active Paris, 1870s–1900s",NA,Neurdein Frères,French,1863,1910,NA,1870s,1870,1879,albumen silver print,NA,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA
53685,662028,TRUE,Drawings and Prints,1919,Books Prints Ornament & Architecture,"Teatro delle Nobili et Virtuose Donne..., page 20 (recto)",NA,NA,NA,NA,NA,Author|Publisher,NA,Isabella Catanea Parasole|Mauritio Bona,"Italian, ca. 1565/70–ca. 1625",", Rome","Parasole, Isabella Catanea|Bona, Mauritio",Italian|Italian,1565,1625,|,1616,1616,1616,"Woodcut, engraving",Overall: 7 1/2 x 10 7/16 in. (19 x 26.5 cm),"Rogers Fund, 1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books|Prints|Ornament & Architecture,NA
89799,547327,FALSE,Egyptian Art,1916,"Beads, Coleoptera beetle",Group of 7 Beads: 1 Cylindrical (16.7.64); 1 Ovoid (16.7.59a); 5 Coleoptera beetles (16.7.59b–f),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 3300–2650 B.C.,-3300,-2650,Bone (mineralized),L. of individual beads: 2.2-4.8,"Gift of Bashford Dean, 1916",From,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA
78958,418512,TRUE,Drawings and Prints,1963,Photograph,"Mlle. D' Anjou, from the Actors and Actresses series (N45, Type 8) for Virginia Brights Cigarettes",NA,NA,NA,NA,NA,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia",NA,Allen & Ginter,American,NA,NA,NA,ca. 1888,1885,1891,Albumen photograph,Sheet: 2 5/8 x 1 1/2 in. (6.6 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs|Ephemera,NA
34083,450660,FALSE,Islamic Art,1946,Fragment,Textile Fragment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18th–19th century,1700,1899,Silk and cotton; brocaded,10 in. high 4.00 in. wide (25.4 cm high 10.2 cm wide),"Gift of the Museum of the Cranbrook Academy of Art, 1946",Attributed to,NA,NA,NA,India,probably Deccan,NA,NA,NA,NA,NA,Textiles-Woven,NA
63822,547663,TRUE,Egyptian Art,1926,"Finger stall, Group 2",Finger stall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1479–1425 B.C.,-1479,-1479,Gold,NA,"Fletcher Fund, 1921–1922",From,NA,NA,NA,Egypt,"Upper Egypt, Thebes",NA,NA,NA,NA,NA,NA,NA
77564,671199,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,second quarter of the 5th century B.C.,-500,-450,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
55233,776884,FALSE,Drawings and Prints,2011,Baseball card,"Jim Rivera, Outfield, Chicago White Sox, from the ""1957 Topps Regular Issue"" series (R414-12), issued by Topps Chewing Gum Company.",NA,NA,NA,NA,NA,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn",NA,Topps Chewing Gum Company,NA,NA,NA,NA,1957,1957,1957,Commercial color lithograph,Sheet: 3 1/2 × 2 1/2 in. (8.9 × 6.3 cm),"Anonymous Gift, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
45458,373323,FALSE,Drawings and Prints,1946,Print,Job,NA,NA,NA,NA,NA,Artist|Publisher|Author,NA,"Letterio Calapai|Reynal and Hitchock, Inc.|Lorenz Graham","American, 1902–1993|American, 1902–1989",NA,"Calapai, Letterio|Reynal and Hitchock, Inc.|Graham, Lorenz",American|American,1902      |1902,1993      |1989,||,1946,1946,1946,Wood engraving,block: 5 1/4 x 4 inches (13.3 x 10.2 cm) sheet: 6 1/4 x 5 inches (15.9 x 12.7 cm),"Gift of Letterio Calapai, 1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
457,334689,TRUE,Drawings and Prints,1998,Drawing Ornament & Architecture,A Medal Cabinet for Napoleon,NA,NA,NA,NA,NA,Artist,NA,Jean Guillaume Moitte,"French, Paris 1746–1810 Paris",NA,"Moitte, Jean Guillaume",French,1746,1810,NA,1804–10,1804,1810,Pen and ink and watercolor,36 7/8 x 21 7/8 in.  (93.7 x 55.6 cm),"Gift of Mrs. Charles Wrightsman, 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA
32073,244605,TRUE,Greek and Roman Art,1874,Cup,Glass cup,Roman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd–3rd century A.D.,100,299,Glass,"Overall: 2 3/16in. (5.5cm)
Diam.: 3 1/16 x 2 1/2 in. (7.8 x 6.4 cm)","The Cesnola Collection, Purchased by subscription, 1874–76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass,NA
81750,545354,FALSE,Egyptian Art,1904,Scarab,Scarab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664–332 B.C.,-664,-664,"Faience, green",L. 1.7 cm (11/16 in),"Gift of Darius Ogden Mills, 1904",From,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,|,NA
64276,347256,FALSE,Drawings and Prints,1950,Book,'El Cavallero Determinado' Salamanca 1573,NA,NA,NA,NA,NA,Translator|Publisher|Author,NA,Hernando de Acuña|Pedro Laso|Olivier de La Marche,"Spanish|French, 1425–1502",", Salamanca","Acuña, Hernando de|Laso, Pedro|La Marche, Olivier de",Spanish|Spanish,1425,1502,||,1573,1573,1573,Lettpress and wooodcuts,"Height: 7 11/16 in. (19.5 cm)
Width: 5 1/2 in. (14 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1950",NA,Salamanca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books,NA
64533,739220,TRUE,Drawings and Prints,1917,Print,Mrs. Fitzherbert,NA,NA,NA,NA,NA,Engraver|Sitter,NA,J. Cook|Maria Anne Fitzherbert,"British, active 1780s|British, 1756–1837",NA,"Cook, J.|Fitzherbert, Maria Anne",NA,1780      |1756,1790      |1837,|,1786,1786,1786,Etching and engraving,Sheet: 6 1/2 × 4 1/16 in. (16.5 × 10.3 cm),"Harris Brisbane Dick Fund, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
7804,71166,TRUE,Asian Art,1920,Piece,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18th century,1700,1799,Silk / Compound weave,3 1/8 × 1 1/2 in. (7.9 × 3.8 cm),"Gift of Kihei Hattori, in memory of his father, Kihei Hattori, 1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Woven,NA
34112,422539,TRUE,Drawings and Prints,1923,print ornament & architecture,Vertical Panel with Candelabrum Containing Pairs of Fish and Rosettes,NA,NA,NA,NA,NA,Artist,NA,Heinrich Aldegrever,"German, Paderborn ca. 1502–1555/1561 Soest",NA,"Aldegrever, Heinrich",German,1502,1561,NA,1552,1552,1552,Engraving,Sheet: 5 7/16 × 1 3/4in. (13.8 × 4.5 cm),"Rogers Fund, 1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ornament & Architecture,NA
14295,241860,TRUE,Greek and Roman Art,1874,Relief of horse legs,Fragment of a limestone votive relief with a quadriga (?),Cypriot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th century B.C.,-400,-301,Limestone,Overall: 6 7/8 x 8 1/4 x 1 5/8 in. (17.5 x 21 x 4.1 cm),"The Cesnola Collection, Purchased by subscription, 1874–76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cesnola Inscriptions,NA
40386,379427,TRUE,Drawings and Prints,1923,Print,Design for Cabriolet Carriage,NA,NA,NA,NA,NA,Artist,NA,"Anonymous, French, 19th century",NA,NA,"Anonymous, French, 19th century",French,1800,1900,NA,ca. 1880,1875,1885,Lithograph with gum arabic,sheet: 5 11/16 x 7 15/16 in. (14.4 x 20.2 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
15343,489375,FALSE,Modern and Contemporary Art,1965,Drawing,Female Torso,NA,NA,NA,NA,NA,Artist,NA,Elie Nadelman,"American (born Poland), Warsaw 1882–1946 Riverdale, New York",NA,"Nadelman, Elie","American, born Poland",1882,1946,NA,ca. 1916–17,1916,1917,Ink and wash on paper,8 7/8 x 4 5/8 in. (22.5 x 11.7 cm),"Gift of Lincoln Kirstein, 1965
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
91650,552189,TRUE,Egyptian Art,1936,Bowl,Red polished ware bowl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ca. 3850–2960 B.C.
",-3850,-2960,Pottery,NA,"Rogers Fund, 1936",From,NA,NA,NA,Egypt,Southern Upper Egypt,NA,NA,NA,NA,NA,NA,NA
93681,15957,TRUE,The American Wing,1992,Drawing,"Lake Scene in the Adirondack Mountains, 1864 (from Sketchbook)",American,NA,NA,NA,NA,Artist,NA,Thomas Hewes Hinckley,1813–1896,NA,"Hinckley, Thomas Hewes",NA,1813,1896,NA,1864,1864,1864,Graphite on beige paper,9 3/4 x 13 7/8 in. (24.8 x 35.2 cm),"Purchase, Sheila and Richard J. Schwartz Fund and Gifts in memory of  Stephen D. Rubin, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
85328,229011,TRUE,European Sculpture and Decorative Arts,1964,Embroidered picture,Abigail and David,British,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,third quarter 17th century,1650,1675,Canvas worked with silk thread; tent and couching stitches,H. 14 1/4 x W. 17 1/2 inches (36.2 x 44.5 cm),"Gift of Irwin Untermyer, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Embroidered,NA
66254,428819,TRUE,Drawings and Prints,1920,Print,Louis XIV,NA,NA,NA,NA,NA,Artist,NA,Robert Nanteuil,"French, Reims 1623–1678 Paris",NA,"Nanteuil, Robert",French,1623,1678,NA,1664,1664,1664,Engraving; second state of seven (Petitjean & Wickert),"Sheet: 16 5/16 × 12 15/16 in. (41.5 × 32.9 cm)
Plate: 15 13/16 × 12 3/8 in. (40.2 × 31.5 cm)","Rogers Fund, 1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
67386,741950,TRUE,Islamic Art,1948,Fragment,Fragment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probably 8th–12th century,800,1300,Stucco; carved,L 4 X W 2 x H 3,"Rogers Fund, 1948",Excavated in,Nishapur,NA,NA,Iran,NA,NA,NA,NA,NA,NA,Stucco,NA
10036,718839,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta rim fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460–450 B.C.,-530,-400,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
29542,392423,TRUE,Drawings and Prints,1949,Drawing ; Ornament and architecture,Design for a cup and saucer,NA,NA,NA,NA,NA,Artist,NA,"Anonymous, French, 19th century",NA,NA,"Anonymous, French, 19th century",French,1800,1900,NA,19th century,1800,1899,Pen and ink with wash on laid paper,sheet: 12 3/16 x 8 1/16 in. (31 x 20.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA
3885,79588,FALSE,Costume Institute,1997,Satchel,Satchel,Italian,NA,NA,NA,NA,Designer,NA,Bottega Veneta,"Italian, founded 1966",NA,Bottega Veneta,Italian,1966,9999,NA,ca. 1971,1966,1976,"leather, metal",NA,"Gift of Joan Lipton, 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34618,649783,FALSE,Drawings and Prints,NA,Print,Budapest: Margaret Island Villa of Archduke Joseph (Margaretheninsel Erherzog Josef-Villa),NA,NA,NA,NA,NA,Artist|Publisher,NA,Franz Kuhn|Wiener Werkstätte,"Austrian, Mistelbach 1889–1952 Vienna",NA,"Kuhn, Franz|Wiener Werkstätte",Austrian,1889,1952,|,1911,1911,1911,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (14 × 9 cm),"Museum Accession, transferred from the Library",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
84920,347001,FALSE,Drawings and Prints,1971,Print,Pledge,NA,NA,NA,NA,NA,Artist|Publisher,Published by,Robert Rauschenberg|Universal Limited Art Editions,"American, Port Arthur, Texas 1925–2008 Captiva Island, Florida",NA,"Rauschenberg, Robert|Universal Limited Art Editions",American|American,1925      |1950,2008      |2050,|,1968,1968,1968,Lithograph,"31 x 23 inches
(78.7 x 58.4 cm)","Florence and Joseph Singer Collection, 1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,© Robert Rauschenberg Foundation
23889,206325,TRUE,European Sculpture and Decorative Arts,1975,Crèche figure,Young man,"Italian, Naples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,late 18th century,1785,1799,Polychromed terracotta head; wooden limbs; body of wire wrapped in tow; various fabrics,H. 14 in. (35.6 cm.),"Gift of Loretta Hines Howard, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crèche,NA
60757,483812,FALSE,Modern and Contemporary Art,1984,Drawing,Seated Nude with Raised Arms,NA,NA,NA,NA,NA,Artist,NA,Amedeo Modigliani,"Italian, Livorno 1884–1920 Paris",NA,"Modigliani, Amedeo",Italian,1884,1920,NA,ca. 1916,1916,1916,Graphite on paper,10 × 6 in. (25.4 × 15.2 cm),"Gift of Harold and Rose Kovner, 1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
53273,383533,FALSE,Drawings and Prints,1967,Print,"View of the Pont Neuf in Paris, with the statue of Henry IV at center in front of the Seine, the church of St-Germaine-l'Auxerrois and the Louvre to the right, and the Hôtel de Nevers and Tour de Nesle to the left",NA,NA,NA,NA,NA,Artist,NA,Stefano della Bella,"Italian, Florence 1610–1664 Florence",NA,"Bella, Stefano della",Italian,1610,1664,NA,1646,1646,1646,Etching,"Plate: 14 3/16 × 26 7/8 in. (36 × 68.2 cm)
Sheet: 14 3/4 × 27 3/8 in. (37.4 × 69.6 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
82513,288354,FALSE,Photographs,1982,Stereographs,"[Pair of Stereograph Views of the Church of St. Vincent de Paul, Paris, France]",NA,NA,NA,NA,NA,Artist|Artist,NA,N. C.|Unknown,French,NA,C. N.|Unknown,French,NA,NA,|,1850s–1910s,1850,1919,Albumen silver prints,"Mount: 8.6 x 17.1 cm (3 3/8 x 6 3/4 in.)
Mount: 8.5 x 17.9 cm (3 3/8 x 7 1/16 in.)","Gift of Weston J. Naef, in memory of Kathleen W. Naef and Weston J. Naef Sr., 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA
88701,208487,TRUE,European Sculpture and Decorative Arts,1995,Tray,Tray,"German, Frankenthal",NA,NA,NA,NA,Manufactory|Artist,NA,Frankenthal Porcelain Manufactory|Georg Funcke,"German|German, active Dresden and Meissen, ca. 1713–26",NA,"Frankenthal Porcelain Manufactory|Funcke, Georg",NA,1708,1726,|,ca. 1770–75,1765,1780,Hard-paste porcelain,11 3/8 × 9 3/4 in. (28.9 × 24.8 cm),"The Hans Syz Collection, Gift of Stephan B. Syz and John D. Syz, 1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA
